trial,api_type,status_code,response_time_ms,response_size_bytes
1,REST,200,380.0256000831723,292
2,REST,200,304.80609997175634,292
3,REST,200,323.6142999958247,292
4,REST,200,298.3241999754682,292
5,REST,200,312.6326999627054,292
6,REST,200,297.79900005087256,292
7,REST,200,302.96320002526045,292
8,REST,200,299.9007999897003,292
9,REST,200,300.3186999121681,292
10,REST,200,303.32790000829846,292
11,REST,200,311.28350005019456,292
12,REST,200,300.7410999853164,292
13,REST,200,312.4085000017658,292
14,REST,200,295.4648999730125,292
15,REST,200,296.10689997207373,292
16,REST,200,301.40779993962497,292
17,REST,200,297.5601999787614,292
18,REST,200,328.4528999356553,292
19,REST,200,310.7409999938682,292
20,REST,200,321.85540010686964,292
21,REST,200,297.83150006551296,292
22,REST,200,315.60679990798235,292
23,REST,200,302.292300038971,292
24,REST,200,294.49030000250787,292
25,REST,200,305.2922000642866,292
26,REST,200,297.32720006722957,292
27,REST,200,297.83129994757473,292
28,REST,200,314.81090001761913,292
29,REST,200,317.284099990502,292
30,REST,200,310.9974000835791,292
31,REST,200,294.31629995815456,292
32,REST,200,289.28719996474683,292
33,REST,200,295.14099995139986,292
34,REST,200,290.4560000170022,292
35,REST,200,292.7645000163466,292
36,REST,200,323.21230007801205,292
37,REST,200,292.35100001096725,292
38,REST,200,307.35519994050264,292
39,REST,200,303.2757999608293,292
40,REST,200,305.93550007324666,292
41,REST,200,302.7866999618709,292
42,REST,200,296.87429999466985,292
43,REST,200,298.1435999972746,292
44,REST,200,296.2182000046596,292
45,REST,200,309.9798000184819,292
46,REST,200,296.5605000499636,292
47,REST,200,298.53770008776337,292
48,REST,200,309.4833000795916,292
49,REST,200,291.9228000100702,292
50,REST,200,297.93889995198697,292
1,GraphQL,200,1695.7758000353351,70
2,GraphQL,200,377.5732000358403,70
3,GraphQL,200,415.6112000346184,70
4,GraphQL,200,402.7989999158308,70
5,GraphQL,200,362.5623999396339,70
6,GraphQL,200,365.21119996905327,70
7,GraphQL,200,354.84040004666895,70
8,GraphQL,200,359.37220009509474,70
9,GraphQL,200,395.0232999632135,70
10,GraphQL,200,363.3997000288218,70
11,GraphQL,200,369.0212001092732,70
12,GraphQL,200,370.2134999912232,70
13,GraphQL,200,357.22000000532717,70
14,GraphQL,200,368.6679999809712,70
15,GraphQL,200,366.1378000397235,70
16,GraphQL,200,366.73710006289184,70
17,GraphQL,200,365.2603999944404,70
18,GraphQL,200,355.4532000562176,70
19,GraphQL,200,351.3545000459999,70
20,GraphQL,200,389.9931999621913,70
21,GraphQL,200,354.6006000833586,70
22,GraphQL,200,358.69309992995113,70
23,GraphQL,200,364.6323001012206,70
24,GraphQL,200,372.60879995301366,70
25,GraphQL,200,351.94049996789545,70
26,GraphQL,200,364.64299994986504,70
27,GraphQL,200,382.17370002530515,70
28,GraphQL,200,361.8645000969991,70
29,GraphQL,200,366.2870000116527,70
30,GraphQL,200,352.0324999699369,70
31,GraphQL,200,351.88990004826337,70
32,GraphQL,200,381.56129990238696,70
33,GraphQL,200,414.2192000290379,70
34,GraphQL,200,352.16269991360605,70
35,GraphQL,200,359.6432999474928,70
36,GraphQL,200,348.3635999727994,70
37,GraphQL,200,385.1689000148326,70
38,GraphQL,200,363.45159995835274,70
39,GraphQL,200,367.2858999343589,70
40,GraphQL,200,360.2944000158459,70
41,GraphQL,200,368.32190002314746,70
42,GraphQL,200,361.6097999038175,70
43,GraphQL,200,401.6018999973312,70
44,GraphQL,200,349.05560000333935,70
45,GraphQL,200,376.64380006026477,70
46,GraphQL,200,365.1620000600815,70
47,GraphQL,200,351.242300006561,70
48,GraphQL,200,356.47030000109226,70
49,GraphQL,200,360.7883999357,70
50,GraphQL,200,358.2185000414029,70
